"FileName","Status","Path","Hash","SizeBytes","LastWrite"
".dockerignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\.dockerignore","B4455EE383BBB934DB99FCF257E3CC7DB278D708CBF6063CE08243F4B9E58054","143","4/18/2026 5:36:19 PM"
".dockerignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\chargeguard-space\.dockerignore","D337969C29E4AE454CD8EC7AC24C02B810294C82B8389427AC544A5B50CCA8BB","158","5/11/2026 1:36:07 AM"
".env","IDENTICAL","C:\Users\Future\chargeguard-woocommerce-backend\.env","D4931568A6B75D86B98AE538A9714557F9980CC3DF45D5EBA8B4423C18C14E6A","700","5/22/2026 7:48:10 PM"
".env","IDENTICAL","C:\Users\Future\chargeguard-woocommerce-backend\chargeguard-space\.env","D4931568A6B75D86B98AE538A9714557F9980CC3DF45D5EBA8B4423C18C14E6A","700","7/8/2026 8:44:21 PM"
".env.example","IDENTICAL","C:\Users\Future\chargeguard-woocommerce-backend\.env.example","E84751C827D12D4CDC235E2AACCC50CBD1A642011B09170DC5F4CC263D3F1345","3508","5/11/2026 2:08:29 PM"
".env.example","IDENTICAL","C:\Users\Future\chargeguard-woocommerce-backend\chargeguard-space\.env.example","E84751C827D12D4CDC235E2AACCC50CBD1A642011B09170DC5F4CC263D3F1345","3508","7/8/2026 8:44:21 PM"
".gitignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\.gitignore","55F91B2557D25383DA4289240A8DDDD35508BA4D039564503807E43C358F25EB","494","7/8/2026 8:21:26 PM"
".gitignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\chargeguard-space\.gitignore","FE705936C8EF5C3ACD24E00B7F5BD7AAAD02C5FDD63658671D94A2A652D1E8EE","152","7/8/2026 8:46:06 PM"
".gitignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\chargeguard-space\woocommerce-chargeguard\vendor\stripe-php\.gitignore","C1C10FC0E0FF398FFBCC9F4FF875DA77F5F58373D5D230F39B089794E39762FF","723","7/8/2026 8:44:21 PM"
".gitignore","DIFFERENT","C:\Users\Future\chargeguard-woocommerce-backend\woocommerce-chargeguard\vendor\stripe-php\.gitignore","C1C10FC0E0FF398FFBCC9F4FF875DA77F5F58373D5D230F39B089794E39762FF","723","5/11/2026 2:10:35 PM"
"attack-simulation.js","IDENTICAL","C:\Users\Future\chargeguard-woocommerce-backend\attack-simulation.js","E3F22E307A5BDB15C5285E4819CE0727A0B97846DA3137E18AC561DCAF857EB5","6489","5/11/2026 2:08:29 PM"
